"","ASS.1","ASS.2","ASS.3","ASS.4","ASS.5","BET.1","BET.2","BET.3","BET.4","BET.5","ASPL.1","ASPL.2","ASPL.3","ASPL.4","ASPL.5","CC.1","CC.2","CC.3","CC.4","CC.5","DEG.1","DEG.2","DEG.3","DEG.4","DEG.5","MIN.1","MIN.2","MIN.3","MIN.4","MIN.5","MAX.1","MAX.2","MAX.3","MAX.4","MAX.5","SD.1","SD.2","SD.3","SD.4","SD.5","MT3.1","MT3.2","MT3.3","MT3.4","MT3.5","MT4.1","MT4.2","MT4.3","MT4.4","MT4.5","CLASS"
"1",-0.1481059743,0,0,0,0,65.11864,0,0,0,0,3.24547,58.83051,0,0,0,0.03234501,0,0,0,0,3.864407,0.33898305,0,0,0,6,2,0,0,0,45,1,0,0,0,1.766134,0.756812,0,0,0,363,0,0,0,0,1513,0,0,0,0,"class_1"
"2",0.0705259314,-0.397541,0,0,0,44.07843,1.23529412,0,0,0,2.763137,49.24549,50.96078,50.96078,0,0.15057915,0,0,0,0,4.509804,0.8627451,0.15686275,0.1568627,0,8,6,1,1,0,4,1,5,5,0,3.796696,2.0101702,0.7841568,0.7841568,0,466,15,0,0,0,2598,24,0,0,0,"class_1"
"3",-0.018438052,-0.4788732,0,0,0,42.74,0.08,0,0,0,2.74449,49.56327,49.96,0,0,0.11428571,0,0,0,0,4.52,0.6,0.12,0,0,3,1,1,0,0,4,8,5,0,0,3.195916,1.3093073,0.593846,0,0,485,4,0,0,0,2828,1,0,0,0,"class_1"
"4",-0.2293656316,-0.3535545,1,0,0,39.38776,1,0,0,0,2.641156,47.44983,48.87755,48.95918,0,0.09205776,0,0,0,0,4.653061,0.97959184,0.40816327,0.1632653,0,48,1,1,1,0,2,4,5,5,0,4.176078,2.1456331,1.1165118,0.7996598,0,520,13,0,0,0,3125,18,0,0,0,"class_1"
"5",-0.1449147908,-0.106383,0,0,0,45.58491,0.01886792,0,0,0,2.753266,52.73657,52.96226,0,0,0.0728972,0,0,0,0,4.264151,0.49056604,0.11320755,0,0,10,1,1,0,0,2,14,5,0,0,3.264912,1.011903,0.5771407,0,0,509,1,0,0,0,3041,0,0,0,0,"class_1"
"6",-0.0201049283,1,0,0,0,46.67308,0,0,0,0,2.830317,51.84615,51.96154,0,0,0.11088296,0,0,0,0,4.346154,0.34615385,0.11538462,0,0,52,1,1,0,0,4,5,5,0,0,2.757412,0.8374709,0.5825517,0,0,451,0,0,0,0,2414,0,0,0,0,"class_1"
"7",0.0044362387,-0.7733333,0,0,0,38.10638,0.06382979,0,0,0,2.656799,46.6198,46.91489,0,0,0.1797005,0,0,0,0,4.893617,0.59574468,0.25531915,0,0,8,1,1,0,0,4,4,4,0,0,4.022945,1.3458402,0.84617,0,0,529,3,0,0,0,3172,0,0,0,0,"class_1"
"8",-0.1455573329,1,0,0,0,46.39623,0,0,0,0,2.78447,52.77358,52.96226,0,0,0.05636743,0,0,0,0,4.264151,0.49056604,0.11320755,0,0,1,1,1,0,0,4,5,5,0,0,2.697228,0.9327924,0.5771407,0,0,461,0,0,0,0,2499,0,0,0,0,"class_1"
"9",-0.1083251598,-0.4634146,0,0,0,43.28,0.04,0,0,0,2.766531,49.64163,49.96,0,0,0.08666667,0,0,0,0,4.52,0.6,0.12,0,0,50,1,1,0,0,24,6,23,0,0,2.727337,1.1428571,0.593846,0,0,424,2,0,0,0,2098,0,0,0,0,"class_1"
"10",0.0227013135,0.3333333,0,0,0,40.2449,0.20408163,0,0,0,2.676871,48.51871,0,0,0,0.0956848,0,0,0,0,4.530612,0.48979592,0,0,0,6,5,0,0,0,2,1,0,0,0,3.416273,1.1203134,0,0,0,499,3,0,0,0,2924,2,0,0,0,"class_1"
"11",0.0817664551,-0.1666667,0,0,0,36.3913,0.23913043,0,0,0,2.617391,45.40193,0,0,0,0.1452514,0,0,0,0,5,0.60869565,0,0,0,1,1,0,0,0,2,2,0,0,0,2.966479,1.2557116,0,0,0,485,4,0,0,0,2645,2,0,0,0,"class_1"
"12",-0.1650781132,0,0,0,0,40.85714,0,0,0,0,2.702381,48.83673,0,0,0,0.07142857,0,0,0,0,4.530612,0.32653061,0,0,0,8,5,0,0,0,2,1,0,0,0,2.754557,0.7468756,0,0,0,480,0,0,0,0,2608,0,0,0,0,"class_1"
"13",-0.020083682,-0.1,0,0,0,39.70833,0.79166667,0,0,0,2.689716,46.70035,0,0,0,0.13092979,0,0,0,0,4.791667,0.91666667,0,0,0,48,1,0,0,0,3,3,0,0,0,3.476109,1.7483528,0,0,0,481,12,0,0,0,2700,13,0,0,0,"class_1"
"14",-0.0919052735,0,0,0,0,41.78,0,0,0,0,2.705306,49.92,0,0,0,0.10188679,0,0,0,0,4.68,0.16,0,0,0,1,1,0,0,0,7,22,0,0,0,2.660674,0.548095,0,0,0,494,0,0,0,0,2597,0,0,0,0,"class_1"
"15",-0.1425592329,0,0,0,0,46.05769,0,0,0,0,2.806184,51.88462,0,0,0,0.05921053,0,0,0,0,4.461538,0.23076923,0,0,0,52,1,0,0,0,6,2,0,0,0,2.638044,0.6452051,0,0,0,438,0,0,0,0,2109,0,0,0,0,"class_1"
"16",-0.0897451799,-0.106383,0,0,0,39.3617,0.0212766,0,0,0,2.711378,46.70305,46.95745,0,0,0.07366071,0,0,0,0,4.553191,0.55319149,0.12765957,0,0,12,1,1,0,0,8,20,10,0,0,2.338789,1.0592965,0.6120891,0,0,426,1,0,0,0,2191,0,0,0,0,"class_1"
"17",0.0609813926,0,0,0,0,57.96364,0,0,0,0,3.146801,54.89091,0,0,0,0.07012987,0,0,0,0,4.036364,0.21818182,0,0,0,10,1,0,0,0,5,3,0,0,0,2.008903,0.6292532,0,0,0,367,0,0,0,0,1621,0,0,0,0,"class_1"
"18",-0.0092844043,-0.1666667,0,0,0,41.7551,0.02040816,0,0,0,2.739796,48.67432,0,0,0,0.08965517,0,0,0,0,4.612245,0.57142857,0,0,0,5,1,0,0,0,4,4,0,0,0,2.604614,1,0,0,0,409,1,0,0,0,1978,0,0,0,0,"class_1"
"19",-0.0220465318,0,0,0,0,45.47059,0,0,0,0,2.818824,50.84314,0,0,0,0.08163265,0,0,0,0,4.392157,0.31372549,0,0,0,10,1,0,0,0,4,8,0,0,0,2.088812,0.73458,0,0,0,417,0,0,0,0,2008,0,0,0,0,"class_1"
"20",0.0531309498,0,0,0,0,55.76364,0,0,0,0,3.06532,54.92727,0,0,0,0.12931034,0,0,0,0,4.218182,0.14545455,0,0,0,16,2,0,0,0,3,1,0,0,0,2.241783,0.5241636,0,0,0,424,0,0,0,0,2041,0,0,0,0,"class_1"
"21",-0.1386614077,1,0,0,0,40.20408,0,0,0,0,2.67517,48.91837,48.95918,0,0,0.08971963,0,0,0,0,4.734694,0.20408163,0.12244898,0,0,5,1,1,0,0,1,22,22,0,0,2.721638,0.7065052,0.5997448,0,0,503,0,0,0,0,2744,0,0,0,0,"class_1"
"22",-0.1130006754,1,0,0,0,44.5098,0,0,0,0,2.780392,50.88235,50.96078,0,0,0.11516315,0,0,0,0,4.54902,0.2745098,0.11764706,0,0,1,1,1,0,0,4,23,23,0,0,2.795094,0.7766191,0.5881176,0,0,481,0,0,0,0,2586,0,0,0,0,"class_1"
"23",-0.1450946113,0.2682927,0,0,0,39.71429,0.08163265,0,0,0,2.654762,48.59524,48.95918,0,0,0.10505837,0,0,0,0,4.77551,0.6122449,0.12244898,0,0,3,3,1,0,0,2,15,20,0,0,2.987929,1.1513819,0.5997448,0,0,478,2,0,0,0,2568,1,0,0,0,"class_1"
"24",-0.0462586614,0.2682927,0,0,0,43.18367,0.08163265,0,0,0,2.79932,48.59524,48.95918,0,0,0.0942029,0,0,0,0,4.734694,0.6122449,0.12244898,0,0,5,1,1,0,0,7,7,42,0,0,2.604287,1.1513819,0.5997448,0,0,388,2,0,0,0,1771,1,0,0,0,"class_1"
"25",-0.1258519482,0,0,0,0,50.76364,0,0,0,0,2.880135,54.92727,0,0,0,0.01456311,0,0,0,0,4.181818,0.14545455,0,0,0,12,1,0,0,0,22,24,0,0,0,1.944517,0.5241636,0,0,0,408,0,0,0,0,1843,0,0,0,0,"class_1"
"26",-0.1050687736,-1,0,0,0,45.52941,0.05882353,0,0,0,2.821176,50.76706,0,0,0,0.11208791,0,0,0,0,4.54902,0.23529412,0,0,0,14,1,0,0,0,21,21,0,0,0,2.508495,0.9505416,0,0,0,421,3,0,0,0,1971,1,0,0,0,"class_1"
"27",-0.185201417,0.04255319,0,0,0,36.06522,0.17391304,0,0,0,2.602899,45.35556,0,0,0,0.12256809,0,0,0,0,4.956522,0.7826087,0,0,0,5,3,0,0,0,6,6,0,0,0,3.00338,1.2980848,0,0,0,472,4,0,0,0,2529,3,0,0,0,"class_1"
"28",0.0656031512,1,0,0,0,56.18182,0,0,0,0,3.080808,54.89091,0,0,0,0.06315789,0,0,0,0,4.218182,0.36363636,0,0,0,55,1,0,0,0,1,3,0,0,0,2.087803,0.9499247,0,0,0,364,0,0,0,0,1574,0,0,0,0,"class_1"
"29",-0.0271418953,0.006410256,-0.5,0,0,44.90196,0.15686275,0.07843137,0,0,2.796078,50.53569,50.76784,0,0,0.1030303,0,0,0,0,4.392157,0.58823529,0.35294118,0,0,51,2,2,0,0,1,43,1,0,0,3.394575,1.5514699,1.2934223,0,0,461,4,2,0,0,2658,3,1,0,0,"class_1"
